world_x,world_y,world_heading,local_vx,local_vy,slip_angle,yaw_rate,steer,throttle,hand_brake,brake
0.635030091,-41.49156189,-90.47418213,8.930996459,-0.005281531,-0.033883053,-0.144910738,-0.000839234,1,0,0
0.6192801,-42.39246368,-90.47600555,8.989438481,-0.005297554,-0.033764895,-0.145840555,-0.000839234,1,0,0
0.599449873,-43.39927673,-90.47861481,9.069877938,-0.005310329,-0.033546139,-0.147114292,-0.000839234,1,0,0
0.581631243,-44.21615219,-90.4834671,9.218940149,-0.005339591,-0.033185592,-0.149478808,-0.000839234,1,0,0
0.559846103,-45.13063431,-90.48889923,9.382466522,-0.005370973,-0.032798843,-0.152070686,-0.000839234,1,0,0
0.534921348,-46.08917999,-90.49646759,9.602809036,-0.005401724,-0.03222973,-0.155550539,-0.000839234,1,0,0
0.502537847,-47.22824478,-90.50415802,9.820366605,-0.005429052,-0.031675167,-0.158974513,-0.000839234,1,0,0
0.477501899,-48.04407501,-90.51157379,10.02478319,-0.005453651,-0.031169869,-0.162172616,-0.000839234,1,0,0
0.443836808,-49.07002258,-90.51938629,10.23327052,-0.005469462,-0.030623355,-0.165413558,-0.000839234,1,0,0
0.40606764,-50.15954971,-90.52722931,10.437733,-0.005487671,-0.030123436,-0.168575481,-0.000839234,1,0,0
0.372525513,-51.11035156,-90.52986145,10.50431175,-0.005487203,-0.029929954,-0.169599921,-0.000839234,1,0,0
0.333050221,-52.25416946,-90.5352478,10.63995421,-0.005492665,-0.029577807,-0.1716903,-0.000839234,1,0,0
0.299379408,-53.30394363,-90.54321289,10.83601693,-0.005495637,-0.029058351,-0.174696878,-0.000839234,1,0,0
0.273589134,-54.16178513,-90.55150604,11.03540186,-0.005496958,-0.028540188,-0.177737534,-0.000839234,1,0,0
0.241286099,-55.3197937,-90.55990601,11.23198854,-0.005490477,-0.028007607,-0.180721283,-0.000839234,1,0,0
0.219468534,-56.168396,-90.56824493,11.42250638,-0.005480989,-0.027492871,-0.183594227,-0.000839234,1,0,0
0.196459323,-57.13818741,-90.57685089,11.61453241,-0.005465827,-0.026963533,-0.186481565,-0.000839234,1,0,0
0.173564434,-58.20251465,-90.58605957,11.81539777,-0.005446744,-0.026412603,-0.189481854,-0.000839234,1,0,0
0.156837553,-59.07389069,-90.59506226,12.00764006,-0.005429671,-0.025908275,-0.192336962,-0.000839234,1,0,0
0.14086245,-60.0364151,-90.6043396,12.20355734,-0.005201296,-0.024420116,-0.189229876,-0.000772095,1,0,0
0.126093522,-61.10144043,-90.61135864,12.39221283,-0.002614291,-0.012087255,-0.113148719,0.000268555,1,0,0
0.116648696,-61.93869019,-90.6047821,12.5823701,0.010361521,0.04718279,0.313062757,0.003994772,1,0,0
0.107995883,-62.92324066,-90.58409882,12.703778,0.023805847,0.107367508,0.809607327,0.006948964,1,0,0
